video_id,proficiency,frameworks,optimization,versioning,involvement,impact,outcomes,logic,communication,solving,learning
1_1,0.92,0.85,0.88,0,0.9,0.93,0.85,0.95,0.82,0.94,0.9
1_2,0.85,0.95,0.93,0,0.92,0.96,0.88,0.94,0.78,0.95,0.92
1_3,0.75,0.9,0.85,0,0.88,0.89,0.8,0.9,0.75,0.88,0.85
1_4,0.8,0.82,0.9,0,0.85,0.87,0.82,0.92,0.72,0.89,0.83
1_5,0.88,0.88,0.95,0,0.93,0.94,0.9,0.96,0.85,0.96,0.93
1_6,0.82,0.92,0.92,0,0.95,0.95,0.93,0.97,0.88,0.97,0.94
1_7,0.65,0,0,0,0.3,0.4,0.35,0.7,0.6,0.55,0.5
1_8,0.7,0,0,0,0.35,0.45,0.4,0.75,0.65,0.6,0.55
1_9,0.68,0,0,0,0.32,0.42,0.38,0.72,0.62,0.58,0.52
1_10,0.55,0,0,0,0.25,0.3,0.28,0.65,0.5,0.45,0.4
1_11,0,0,0,0,0,0,0,0.1,0.05,0.05,0
1_12,0.5,0,0,0,0.2,0.25,0.22,0.6,0.45,0.4,0.35
1_13,0.58,0,0,0,0.28,0.35,0.32,0.68,0.55,0.5,0.45
1_14,0.52,0,0,0,0.22,0.28,0.25,0.62,0.48,0.42,0.38
1_15,0.62,0,0,0,0.35,0.4,0.38,0.75,0.65,0.6,0.55
1_16,0.72,0,0.65,0,0.75,0.78,0.82,0.85,0.8,0.83,0.78
1_17,0.78,0,0.7,0,0.82,0.85,0.88,0.9,0.85,0.88,0.83
1_18,0.75,0,0.68,0,0.8,0.83,0.85,0.88,0.82,0.85,0.8
1_19,0.8,0,0.72,0,0.85,0.88,0.9,0.92,0.88,0.9,0.85
1_20,0.85,0,0.75,0,0.88,0.9,0.92,0.94,0.9,0.93,0.95
1_21,0.85,0,0,0,0.75,0.8,0,0.82,0.78,0.75,0.88
1_22,0.88,0.75,0,0,0.8,0.85,0,0.85,0.82,0.8,0.9
1_23,0.82,0.92,0.85,0,0.9,0.93,0.88,0.92,0.85,0.9,0.92
1_24,0.85,0.95,0.88,0,0.92,0.95,0.9,0.94,0.88,0.92,0.93
1_25,0.9,0.85,0.82,0,0.88,0.9,0.85,0.93,0.9,0.92,0.95
1_26,0.92,0.88,0.9,0,0.93,0.94,0.92,0.96,0.92,0.95,0.96
1_27,0.88,0.82,0.85,0,0.9,0.92,0.95,0.94,0.88,0.93,0.94
1_28,0.85,0.78,0.8,0,0.85,0.88,0.9,0.92,0.85,0.9,0.92
2_1,0.75,0,0,0,0.65,0.7,0,0.78,0.72,0.68,0.8
2_2,0.82,0,0,0,0.72,0.78,0,0.85,0.8,0.75,0.85
2_3,0.85,0,0,0,0.75,0.82,0,0.88,0.82,0.78,0.88
2_4,0.88,0,0,0,0.78,0.85,0,0.9,0.85,0.82,0.9
2_5,0.92,0,0.85,0,0.85,0.9,0,0.94,0.88,0.9,0.93
2_6,0.95,0,0.88,0,0.88,0.93,0,0.96,0.9,0.93,0.95
2_7,0.97,0,0.9,0,0.9,0.95,0,0.98,0.92,0.95,0.97
2_8,0.98,0,0.92,0,0.92,0.96,0,0.99,0.94,0.96,0.98
2_9,0.85,0,0.88,0,0.82,0.88,0,0.92,0.85,0.9,0.93
2_10,0.88,0,0.9,0,0.85,0.9,0,0.94,0.88,0.92,0.95
2_11,0.9,0,0.92,0,0.88,0.92,0,0.96,0.9,0.94,0.96
2_12,0.92,0,0.94,0,0.9,0.94,0,0.97,0.92,0.95,0.97
2_13,0.85,0.92,0.88,0,0.93,0.95,0.9,0.94,0.82,0.93,0.92
2_14,0.82,0.95,0.85,0,0.9,0.92,0.88,0.92,0.78,0.9,0.9
2_15,0.88,0.9,0.9,0,0.92,0.94,0.92,0.96,0.85,0.95,0.93
2_16,0.9,0.93,0.95,0,0.95,0.96,0.94,0.97,0.88,0.97,0.95
2_17,0.92,0.96,0.92,0,0.96,0.97,0.95,0.98,0.9,0.98,0.96
2_18,0.85,0.88,0.9,0,0.93,0.94,0.93,0.95,0.82,0.95,0.93
2_19,0,0.85,0,0,0,0,0,0.8,0.75,0.8,0.8
2_20,0,0.88,0,0,0,0,0,0.82,0.78,0.82,0.82
2_21,0,0,0,0,0,0,0,0.85,0.8,0.85,0.85
2_22,0,0,0,0,0,0,0,0.83,0.78,0.83,0.83
2_23,0,0,0.85,0,0,0,0.8,0.84,0.8,0.84,0.84
2_24,0,0,0,0,0,0,0,0.8,0.75,0.8,0.8
3_1,0.9,0,0,0,0,0,0,0.85,0.8,0.85,0.85
3_2,0.91,0,0,0,0,0,0,0.86,0.82,0.86,0.86
3_3,0.89,0,0,0,0,0,0,0.84,0.8,0.84,0.84
3_4,0.92,0,0.8,0,0,0,0,0.87,0.83,0.87,0.87
3_5,0.93,0,0,0,0,0,0,0.88,0.84,0.88,0.88
3_6,0.88,0,0.85,0,0,0,0,0.83,0.79,0.83,0.83
3_7,0.87,0,0.85,0,0,0,0,0.82,0.78,0.82,0.82
3_8,0.86,0,0.85,0,0,0,0,0.81,0.77,0.81,0.81
3_9,0.85,0,0.8,0,0,0,0,0.8,0.76,0.8,0.8
3_10,0.84,0,0.8,0,0,0,0,0.79,0.75,0.79,0.79
3_11,0.83,0,0.8,0,0,0,0,0.78,0.74,0.78,0.78
3_12,0.82,0,0.85,0,0,0,0,0.77,0.73,0.77,0.77
3_13,0.9,0,0,0,0,0,0,0.88,0.85,0.9,0.88
3_14,0.81,0,0.85,0,0,0,0,0.76,0.72,0.76,0.76
3_15,0.8,0,0.85,0,0,0,0,0.75,0.7,0.75,0.75
3_16,0.85,0,0.9,0,0,0,0,0.82,0.78,0.85,0.85
3_17,0.8,0,0.85,0,0,0,0,0.78,0.7,0.8,0.8
3_18,0.88,0,0.92,0,0,0,0,0.85,0.8,0.88,0.88
3_19,0.82,0,0.88,0,0,0,0,0.8,0.75,0.82,0.82
3_20,0.8,0,0.85,0,0,0,0,0.75,0.65,0.8,0.8
3_21,0,0,0,0,0.85,0.85,0.85,0.82,0.75,0.85,0.85
3_22,0,0,0,0,0.88,0.88,0.88,0.85,0.78,0.88,0.88
3_23,0,0,0,0,0.9,0.9,0.9,0.88,0.8,0.9,0.9
3_24,0,0,0.9,0,0.92,0.92,0.92,0.9,0.85,0.92,0.92
3_25,0.85,0,0.95,0,0.95,0.95,0.95,0.93,0.88,0.95,0.95
3_26,0,0,0,0,0.9,0.9,0.9,0.88,0.82,0.9,0.9
3_27,0,0,0.92,0,0.93,0.93,0.93,0.91,0.85,0.93,0.93
3_28,0,0,0,0,0,0,0,0.85,0.8,0.85,0.85
3_29,0,0,0,0,0,0,0,0.82,0.75,0.82,0.82
3_30,0,0,0,0,0,0,0,0.8,0.7,0.8,0.8
3_31,0,0,0,0,0,0,0,0.78,0.65,0.78,0.78
3_32,0,0,0,0,0,0,0,0.75,0.6,0.75,0.75
3_33,0.8,0.85,0,0,0,0,0,0.82,0.7,0.82,0.82
3_34,0,0,0,0,0,0,0,0.8,0.75,0.8,0.8
3_35,0,0,0,0,0,0,0,0.85,0.8,0.85,0.85
3_36,0,0,0,0,0,0,0,0.75,0.7,0.75,0.75
4_1,0,0,0,0,0,0,0,0.7,0.65,0.7,0.7
4_2,0,0.8,0,0,0,0,0,0.75,0.7,0.75,0.75
4_3,0,0.82,0,0,0,0,0,0.78,0.72,0.78,0.78
4_4,0.85,0,0,0,0,0,0,0.8,0.75,0.8,0.8
4_5,0.88,0,0,0,0,0,0,0.85,0.8,0.85,0.85
4_6,0.86,0,0.8,0,0,0,0,0.84,0.78,0.84,0.84
4_7,0.87,0,0.85,0,0,0,0,0.86,0.8,0.86,0.86
4_8,0.85,0,0.88,0,0,0,0,0.85,0.82,0.85,0.85
4_9,0.84,0,0.9,0,0,0,0,0.86,0.8,0.86,0.86
4_10,0.83,0,0.92,0,0,0,0,0.87,0.82,0.87,0.87
4_11,0.82,0,0.93,0,0,0,0,0.88,0.83,0.88,0.88
4_12,0,0,0,0.85,0,0,0,0.82,0.78,0.82,0.82
4_13,0,0,0,0.88,0,0,0,0.85,0.8,0.85,0.85
4_14,0,0,0,0.9,0,0,0,0.87,0.82,0.87,0.87
4_15,0,0,0,0.92,0,0,0,0.89,0.85,0.89,0.89
4_16,0,0,0,0,0,0,0,0.8,0.75,0.8,0.8
4_17,0,0,0,0,0,0,0,0.82,0.78,0.82,0.82
4_18,0,0,0,0,0,0,0,0.84,0.8,0.84,0.84
4_19,0,0,0,0,0,0,0,0.85,0.82,0.85,0.85
4_20,0,0,0,0,0.85,0.85,0.85,0.82,0.78,0.85,0.85
4_21,0,0,0,0,0.88,0.88,0.88,0.85,0.8,0.88,0.88
4_22,0,0,0,0,0.9,0.9,0.9,0.88,0.82,0.9,0.9
4_23,0,0,0,0,0,0,0,0.85,0.8,0.85,0.85
4_24,0,0,0,0,0,0,0,0.88,0.82,0.88,0.88
4_25,0,0,0,0,0,0,0,0.9,0.85,0.9,0.9
4_26,0,0,0,0,0,0,0,0.92,0.88,0.92,0.92
4_27,0,0,0,0,0,0,0,0.93,0.9,0.93,0.93
5_1,0.9,0,0.85,0,0,0,0,0.88,0.85,0.88,0.88
5_2,0.88,0,0.88,0,0,0,0,0.86,0.82,0.86,0.86
5_3,0.85,0,0.9,0,0,0,0,0.85,0.8,0.85,0.85
5_4,0.92,0,0.93,0,0,0,0,0.9,0.85,0.9,0.9
5_5,0.87,0,0.92,0,0,0,0,0.88,0.83,0.88,0.88
5_6,0.89,0,0.91,0,0,0,0,0.87,0.82,0.87,0.87
5_7,0.86,0,0.89,0,0,0,0,0.84,0.78,0.84,0.84
5_8,0.85,0,0.9,0,0,0,0,0.83,0.76,0.83,0.83
5_9,0.84,0,0.92,0,0,0,0,0.82,0.75,0.82,0.82
5_10,0.93,0,0,0,0,0,0,0.9,0.85,0.9,0.9
5_11,0.91,0,0,0,0,0,0,0.89,0.84,0.89,0.89
5_12,0.88,0,0,0,0,0,0,0.85,0.78,0.85,0.85
5_13,0.87,0,0,0,0,0,0,0.83,0.75,0.83,0.83
5_14,0.86,0,0.88,0,0,0,0,0.82,0.74,0.82,0.82
5_15,0.85,0,0.93,0,0,0,0,0.84,0.76,0.84,0.84
5_16,0,0,0,0,0.85,0.85,0.85,0.82,0.75,0.85,0.85
5_17,0,0.9,0,0,0.92,0.92,0.92,0.9,0.85,0.92,0.92
5_18,0,0.92,0.88,0,0.93,0.93,0.93,0.91,0.86,0.93,0.93
5_19,0,0.91,0.9,0,0.94,0.94,0.94,0.92,0.87,0.94,0.94
5_20,0,0.93,0.95,0,0.95,0.95,0.95,0.94,0.9,0.95,0.95
5_21,0,0.92,0.95,0,0.95,0.95,0.95,0.93,0.88,0.95,0.95
5_22,0,0.9,0.93,0,0.93,0.93,0.93,0.91,0.85,0.93,0.93
5_23,0,0,0,0.88,0.9,0.9,0.9,0.88,0.82,0.9,0.9
5_24,0,0,0,0.9,0.92,0.92,0.92,0.9,0.85,0.92,0.92
5_25,0,0,0,0.92,0.93,0.93,0.93,0.91,0.87,0.93,0.93
5_26,0,0,0,0.93,0.94,0.94,0.94,0.92,0.88,0.94,0.94
5_27,0,0,0,0.94,0.95,0.95,0.95,0.93,0.9,0.95,0.95
5_28,0,0.95,0.96,0,0.96,0.96,0.96,0.94,0.91,0.96,0.96
5_29,0,0.94,0.95,0,0.95,0.95,0.95,0.93,0.89,0.95,0.95
5_30,0,0.93,0.94,0,0.94,0.94,0.94,0.92,0.88,0.94,0.94
5_31,0,0.95,0.96,0,0.96,0.96,0.96,0.94,0.91,0.96,0.96
5_32,0,0.92,0.93,0,0.93,0.93,0.93,0.91,0.86,0.93,0.93
5_33,0,0.91,0.92,0,0.92,0.92,0.92,0.9,0.85,0.92,0.92
5_34,0,0.9,0.91,0,0.91,0.91,0.91,0.89,0.84,0.91,0.91
5_35,0,0.89,0.9,0,0.9,0.9,0.9,0.88,0.83,0.9,0.9
5_36,0,0,0,0,0,0,0,0.92,0.88,0.92,0.92
5_37,0,0,0,0,0,0,0,0.93,0.89,0.93,0.93
5_38,0,0,0,0,0,0,0,0.91,0.87,0.91,0.91
5_39,0,0,0,0,0,0,0,0.9,0.86,0.9,0.9
5_40,0,0,0,0,0,0,0,0.94,0.9,0.94,0.94
5_41,0,0,0,0,0,0,0,0.85,0.8,0.85,0.85
5_42,0,0,0,0,0,0,0,0.75,0.65,0.75,0.75
6_1,0.9,0,0,0,0,0,0,0.88,0.85,0.88,0.88
6_2,0.92,0,0,0,0,0,0,0.9,0.86,0.9,0.9
6_3,0.93,0,0,0,0,0,0,0.91,0.87,0.91,0.91
6_4,0.94,0,0,0,0,0,0,0.92,0.88,0.92,0.92
6_5,0.95,0,0,0,0,0,0,0.93,0.89,0.93,0.93
6_6,0.96,0,0,0,0,0,0,0.94,0.9,0.94,0.94
6_7,0.97,0,0,0,0,0,0,0.95,0.91,0.95,0.95
6_8,0.98,0,0,0,0,0,0,0.96,0.92,0.96,0.96
6_9,0.99,0,0.85,0,0,0,0,0.97,0.93,0.97,0.97
6_10,1,0,0.9,0,0,0,0,0.98,0.94,0.98,0.98
6_11,0.99,0,0.92,0,0,0,0,0.97,0.93,0.97,0.97
6_12,0.98,0,0.93,0,0,0,0,0.96,0.92,0.96,0.96
6_13,0.97,0,0.94,0,0,0,0,0.95,0.91,0.95,0.95
6_14,0,0,0,0.95,0,0,0,0.94,0.9,0.94,0.94
6_15,0,0,0,0.96,0,0,0,0.95,0.91,0.95,0.95
6_16,0,0,0,0.97,0,0,0,0.96,0.92,0.96,0.96
6_17,0,0,0,0.98,0,0,0,0.97,0.93,0.97,0.97
6_18,0,0.9,0.95,0,0,0,0,0.96,0.92,0.96,0.96
6_19,0,0,0.92,0,0,0,0,0.9,0.85,0.92,0.9
6_20,0,0,0.95,0,0,0,0,0.93,0.88,0.95,0.93
6_21,0,0.9,0.96,0,0,0,0,0.94,0.89,0.96,0.94
6_22,0.88,0,0,0,0,0,0,0.86,0.82,0.88,0.86
6_23,0.95,0,0,0,0,0,0,0.93,0.9,0.95,0.93
6_24,0.96,0,0,0,0,0,0,0.94,0.91,0.96,0.94
6_25,0.97,0,0,0,0,0,0,0.95,0.92,0.97,0.95
6_26,0,0,0,0,0,0,0,0.85,0.8,0.85,0.85
6_27,0,0,0,0,0,0,0,0.88,0.83,0.88,0.88
6_28,0,0,0,0,0,0,0,0.9,0.85,0.9,0.9
6_29,0,0,0,0.85,0,0,0,0.92,0.87,0.92,0.92
6_30,0,0,0,0,0,0,0,0.87,0.82,0.87,0.87
7_1,0.98,0,0,0,0,0,0,0.96,0.93,0.98,0.96
7_2,0.99,0,0,0,0,0,0,0.97,0.94,0.99,0.97
7_3,0.98,0,0,0,0,0,0,0.96,0.93,0.98,0.96
7_4,0.85,0,0,0,0,0,0,0.83,0.78,0.85,0.83
7_5,0.9,0,0,0,0,0,0,0.88,0.82,0.9,0.88
7_6,0.92,0,0,0,0,0,0,0.9,0.85,0.92,0.9
7_7,0.95,0,0,0,0,0,0,0.93,0.89,0.95,0.93
7_8,0.96,0,0.85,0,0,0,0,0.94,0.9,0.96,0.94
7_9,0.97,0,0.88,0,0,0,0,0.95,0.91,0.97,0.95
7_10,0.98,0,0.9,0,0,0,0,0.96,0.92,0.98,0.96
7_11,0.99,0,0.95,0,0,0,0,0.97,0.93,0.99,0.97
7_12,0,0.92,0,0,0,0,0,0.94,0.9,0.94,0.94
7_13,0,0.93,0,0,0,0,0,0.95,0.91,0.95,0.95
7_14,0,0.94,0,0,0,0,0,0.96,0.92,0.96,0.96
7_15,0,0.95,0,0.85,0,0,0,0.97,0.93,0.97,0.97
7_16,0,0.96,0,0.88,0,0,0,0.98,0.94,0.98,0.98
7_17,0,0,0,0,0,0,0,0.85,0.8,0.85,0.85
7_18,0,0,0,0,0,0,0,0.88,0.83,0.88,0.88
7_19,0.99,0,0,0,0,0,0,0.97,0.94,0.99,0.97
7_20,1,0,0,0,0,0,0,0.98,0.95,1,0.98
7_21,0,0,0.95,0,0,0,0,0.93,0.9,0.95,0.93
7_22,0.92,0,0,0,0,0,0,0.9,0.85,0.92,0.9
7_23,0.94,0,0,0,0,0,0,0.92,0.87,0.94,0.92
7_24,0.96,0,0,0,0,0,0,0.94,0.91,0.96,0.94
7_25,0,0,0,0,0,0,0,0,0,0,0
8_1,0,0,0,0,0,0,0,0.8,0.75,0.8,0.8
8_2,0,0.85,0,0,0.85,0.85,0.85,0.83,0.78,0.85,0.85
8_3,0,0,0,0,0,0,0,0.82,0.77,0.82,0.85
8_4,0,0,0,0,0,0,0,0.75,0.7,0.75,0.78
8_5,0.9,0,0,0,0,0,0,0.88,0.85,0.9,0.88
8_6,0.92,0,0,0,0,0,0,0.9,0.86,0.92,0.9
8_7,0.88,0,0,0,0,0,0,0.86,0.82,0.88,0.86
8_8,0.92,0,0,0,0,0,0,0.9,0.86,0.92,0.9
8_9,0.95,0,0,0,0,0,0,0.93,0.89,0.95,0.93
8_10,0,0,0,0.88,0,0,0,0.86,0.82,0.88,0.86
8_11,0,0,0,0.9,0,0,0,0.88,0.84,0.9,0.88
8_12,0,0,0,0.92,0,0,0,0.9,0.86,0.92,0.9
8_13,0,0,0,0,0,0,0,0.85,0.8,0.85,0.85
8_14,0,0,0,0,0,0,0,0.87,0.82,0.87,0.87
8_15,0,0,0,0,0,0,0,0.89,0.84,0.89,0.89
8_16,0,0,0,0,0,0,0,0.83,0.78,0.83,0.85
8_17,0,0,0,0,0,0,0,0.85,0.8,0.85,0.87
8_18,0,0,0,0,0,0,0,0.88,0.83,0.88,0.9
8_19,0,0,0,0,0,0,0,0.9,0.85,0.9,0.92
8_20,0,0,0,0,0,0,0,0.82,0.77,0.82,0.84
8_21,0,0,0,0,0,0,0,0.75,0.7,0.75,0.75
9_1,0.85,0,0,0,0,0,0,0.82,0.78,0.85,0.82
9_2,0.88,0,0,0,0,0,0,0.85,0.8,0.88,0.85
9_3,0,0,0,0,0,0,0,0.7,0.65,0.7,0.7
9_4,0,0.9,0,0,0.9,0.9,0.9,0.88,0.85,0.9,0.88
9_5,0,0.92,0.95,0,0.95,0.95,0.95,0.93,0.9,0.95,0.93
9_6,0,0,0.88,0,0,0,0,0.85,0.8,0.88,0.85
9_7,0,0,0.96,0,0,0,0,0.94,0.91,0.96,0.94
9_8,0,0,0.94,0,0,0,0,0.92,0.85,0.94,0.92
9_9,0,0.93,0,0,0,0,0,0.91,0.88,0.93,0.91
9_10,0,0.95,0,0,0,0,0,0.93,0.9,0.95,0.93
9_11,0,0.96,0.92,0,0,0,0,0.94,0.91,0.96,0.94
9_12,0.94,0,0,0,0,0,0,0.92,0.89,0.94,0.92
9_13,0.96,0,0,0,0,0,0,0.94,0.91,0.96,0.94
9_14,0.95,0,0,0,0,0,0,0.93,0.9,0.95,0.93
9_15,0.88,0,0,0,0,0,0,0.86,0.83,0.88,0.86
9_16,0.9,0,0,0,0,0,0,0.88,0.85,0.9,0.88
9_17,0.92,0,0,0,0,0,0,0.9,0.87,0.92,0.9
9_18,0,0,0,0,0,0,0,0.85,0.8,0.85,0.87
9_19,0,0,0,0,0,0,0,0.88,0.83,0.88,0.9
9_20,0.85,0,0,0,0,0,0,0.82,0.78,0.85,0.82
9_21,0.85,0,0,0,0,0,0,0.82,0.75,0.85,0.82
9_22,0.88,0,0,0,0,0,0,0.85,0.78,0.88,0.85
9_23,0.9,0,0.92,0,0,0,0,0.88,0.8,0.92,0.88
9_24,0,0,0,0.85,0,0,0,0.82,0.75,0.85,0.82
9_25,0,0,0,0.88,0,0,0,0.85,0.78,0.88,0.85
9_26,0,0,0,0.92,0,0,0,0.9,0.85,0.92,0.9
9_27,0,0,0,0.9,0,0,0,0.88,0.8,0.9,0.88
9_28,0.86,0,0,0,0,0,0,0.83,0.76,0.86,0.83
9_29,0.88,0,0,0,0,0,0,0.85,0.78,0.88,0.85
9_30,0.92,0,0,0,0,0,0,0.9,0.85,0.92,0.9
9_31,0,0,0,0,0,0,0,0.75,0.65,0.75,0.8
9_32,0,0,0,0,0,0,0,0.8,0.7,0.8,0.85
9_33,0,0,0,0,0,0,0,0.82,0.75,0.82,0.82
9_34,0,0,0,0,0,0,0,0.85,0.78,0.85,0.85
9_35,0,0,0,0,0,0,0,0.8,0.72,0.8,0.8
10_1,0.82,0,0,0,0,0,0,0.8,0.7,0.82,0.8
10_2,0.85,0,0,0,0,0,0,0.83,0.75,0.85,0.83
10_3,0.88,0,0.9,0,0,0,0,0.86,0.8,0.9,0.86
10_4,0.9,0,0.92,0,0,0,0,0.88,0.82,0.92,0.88
10_5,0.92,0,0.95,0,0,0,0,0.9,0.85,0.95,0.9
10_6,0.82,0,0.85,0,0,0,0,0.8,0.7,0.85,0.8
10_7,0.85,0,0,0,0,0,0,0.83,0.75,0.85,0.83
10_8,0.88,0,0,0,0,0,0,0.86,0.78,0.88,0.86
10_9,0.9,0,0,0,0,0,0,0.88,0.8,0.9,0.88
10_10,0.92,0,0,0,0,0,0,0.9,0.85,0.92,0.9
10_11,0.94,0,0,0,0,0,0,0.92,0.88,0.94,0.92
10_12,0.96,0,0,0,0,0,0,0.94,0.9,0.96,0.94
10_13,0,0.95,0,0,0.95,0.95,0.95,0.93,0.9,0.95,0.93
10_14,0,0.96,0,0,0.96,0.96,0.96,0.94,0.91,0.96,0.94
10_15,0,0.97,0.98,0,0.98,0.98,0.98,0.96,0.93,0.98,0.96
10_16,0,0.98,0.99,0,0.99,0.99,0.99,0.97,0.94,0.99,0.97
10_17,0,0.99,1,0,1,1,1,0.98,0.95,1,0.98
10_18,0,1,1,0,1,1,1,0.99,0.96,1,0.99
10_19,0,1,1,0,1,1,1,0.99,0.97,1,0.99
10_20,0,1,1,0,1,1,1,1,0.98,1,1
10_21,0,0.85,0,0,0,0,0,0.82,0.75,0.85,0.82
10_22,0,0.9,0,0,0,0,0,0.88,0.8,0.9,0.88
10_23,0,0.92,0,0,0,0,0,0.9,0.82,0.92,0.9
10_24,0,0.94,0,0,0,0,0,0.92,0.85,0.94,0.92
10_25,0,0.92,0.95,0,0,0,0,0.9,0.85,0.95,0.9
10_26,0,0.94,0.96,0,0,0,0,0.92,0.87,0.96,0.92
10_27,0,0.93,0.94,0,0,0,0,0.91,0.86,0.94,0.91
10_28,0,0.96,0,0,0,0,0,0.94,0.89,0.96,0.94
10_29,0,0.97,0,0.92,0,0,0,0.95,0.9,0.97,0.95
10_30,0,0,0,0.85,0,0,0,0.82,0.7,0.85,0.82
10_31,0.95,0,0,0,0,0,0,0.93,0.9,0.95,0.93
10_32,0.97,0,0,0,0,0,0,0.95,0.92,0.97,0.95
10_33,0.98,0,0,0,0,0,0,0.96,0.93,0.98,0.96
10_34,0.88,0,0,0,0,0,0,0.86,0.83,0.88,0.86
10_35,0.9,0,0,0,0,0,0,0.88,0.85,0.9,0.88
10_36,0.92,0,0,0,0,0,0,0.9,0.87,0.92,0.9
10_37,0,0,0,0,0,0,0,0.85,0.8,0.85,0.87
10_38,0,0,0,0,0,0,0,0.88,0.83,0.88,0.9
10_39,0,0,0,0,0,0,0,0.9,0.85,0.9,0.92
10_40,0,0,0,0,0,0,0,0.87,0.82,0.87,0.89
